순번,의료기관명,의료기관 분류,의료기관 주소,Latitude,Longitude,의료기관 전화번호
27,세종서울정신건강의학과의원,의원,"세종특별자치시 보듬3로 143, 대영프라자 603호 (아름동)",36.5115351,127.243696,044-715-5432
28,세종정신건강의학과의원,의원,"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 404호 (어진동)",36.4954676,127.2569976,070-5029-1449
29,서울온가족치과의원,치과의원,"세종특별자치시 한누리대로 1844, 404,405,406호 (반곡동)",36.4976987,127.3087878,044-862-2275
30,세종이엠365의원,의원,"세종특별자치시 국세청로 32, 마크원애비뉴 D-406,407,410,411,412,413A,413B,414A,414B,415, C-401 (나성동)",36.4862596,127.2630024,044-863-7119
31,싱긋삼성이비인후과의원,의원,"세종특별자치시 다정중앙로 52, 페스티발2 507,508,509호 (다정동)",36.4951769,127.2492548,044-998-9274
32,세종해밀한의원,한의원,"세종특별자치시 해밀3로 51, 스카이허브 402호 (해밀동)",36.5293927,127.264881,044-715-5488
33,박정준한의원,한의원,"세종특별자치시 고운서길 7, 골드프라자 202호 (고운동)",36.5053105,127.2347662,044-862-1070
34,이은석한의원,한의원,"세종특별자치시 한누리대로 2165, 호려울마을7단지 근린생활시설 A-424,425호 (보람동)",36.4762303,127.2870069,044-903-1229
35,화인마취통증의학과의원,의원,"세종특별자치시 한누리대로 249, 에스제이타워 508,509호 (나성동)",36.4845984,127.2584531,044-715-5875
36,연세하트내과의원,의원,"세종특별자치시 새롬중앙로 59, 새롬빌딩 5층 502,503호 (새롬동)",36.4860757,127.2503182,044-715-7580
37,에스지연합의원,의원,"세종특별자치시 갈매로 58, 황산프라자 5층 501~511호 (대평동)",36.4710747,127.2752964,044-864-9991
38,강남세종치과의원,치과의원,"세종특별자치시 마음로 264, 고운프라자 2층 205호 (고운동)",36.5192791,127.2346597,044-864-8111
39,동행의원한의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 601,602,603일부호 (나성동)",36.487784,127.2566555,044-868-9935
40,동행의원한의원,한의원,"세종특별자치시 한누리대로 265, 명동프라자 601,602,603일부호 (나성동)",36.487784,127.2566555,044-868-9935
41,퍼스트한의원,한의원,"세종특별자치시 나성북로 30, 퍼스트원 628,629,630,631호 (나성동)",36.4901712,127.2594252,044-417-7875
42,로안한의원,한의원,"세종특별자치시 한누리대로 1844, 402,403호 (반곡동)",36.4920077,127.3115268,044-866-7579
43,세종온정성한의원,한의원,"세종특별자치시 나성북1로 12, 메가타워2 301호 (나성동)",36.4909896,127.2576193,044-866-1207
44,허브힐한의원,한의원,"세종특별자치시 해밀3로 51, 스카이허브 3층 301호 (해밀동)",36.5293927,127.264881,044-862-7975
45,아름튼튼정형외과의원,의원,"세종특별자치시 보듬3로 92, 해피라움2 3층 301,302,315호 (아름동)",36.511737,127.2497282,044-715-5375
46,코난소아청소년과의원,의원,"세종특별자치시 남세종로 73, 1층 109,110호 (집현동)",36.5057626,127.3186108,044-715-7551
47,어진서부한의원,한의원,"세종특별자치시 한누리대로 411, KT&G세종타워A 2층 3호 (어진동)",36.5060569,127.2741415,044-960-5333
48,연세더아름의원,의원,"세종특별자치시 보듬3로 101, 2층 203,204,205호 (아름동)",36.5113991,127.2484173,044-715-7911
49,마음현정신건강의학과의원,의원,"세종특별자치시 한누리대로 275, 형성프라자 6층 606,607호 (나성동)",36.4887389,127.2562539,044-862-3217
50,범지기한의원,한의원,"세종특별자치시 보듬3로 101, 2층 201,202호 (아름동)",36.5113991,127.2484173,044-998-0700
51,김종열한의원,한의원,"세종특별자치시 한누리대로 2275, 알파메디컬센터 3층 312,313호 (대평동)",36.4715517,127.2763529,070-7576-7077
52,더블유세종어진건강의원,의원,"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 401호 (어진동)",36.4954676,127.2569976,044-715-5262
53,꿈담소아청소년과의원,의원,"세종특별자치시 마음로 264, 고운프라자 2층 201-1호, 201-2호 (고운동)",36.5193283,127.2346596,044-715-7545
54,중앙소아청소년과의원,의원,"세종특별자치시 한누리대로 2257, 판타지타워 404, 405호 (대평동)",36.4726802,127.2778762,044-715-7475
55,세종위드정형외과의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 7층 701,702,703호 (나성동)",36.4789573,127.2630511,044-715-7574
56,손근형소아청소년과의원,의원,"세종특별자치시 나성북로 30, 퍼스트원 632,633,634,635호 (나성동)",36.4901712,127.2594252,044-715-5975
57,봄봄 이비인후과의원,의원,"세종특별자치시 마음로 78, 세종 스마트큐브Ⅱ 203,204호 (고운동)",36.5055595,127.2337274,044-715-5915
58,메디캐치 정형외과의원,의원,"세종특별자치시  마음로 272-17, 세종 NS타워 3차 4층 (고운동)",36.5184993,127.235275,044-417-6273
59,메디캐치의원,의원,"세종특별자치시  마음로 272-17, 세종NS타워 3차 3층 (고운동)",36.5184993,127.235275,044-417-6271
60,연세나무 정신건강의학과의원,의원,"세종특별자치시 나성북로 30, 퍼스트원 533,534,535,547,548,549호 (나성동)",36.4901712,127.2594252,044-865-5272
61,아이맘편작한의원,한의원,"세종특별자치시 절재로 194, 중앙타운 5층 512호 (어진동)",36.5082505,127.2624711,044-864-8375
62,윤빛소아청소년과의원,의원,"세종특별자치시 해밀3로 43, 스카이드림 303호 (해밀동)",36.5284833,127.2646737,044-865-8124
63,동행정신건강의학과의원,의원,"세종특별자치시 절재로 194, 중앙타운 704호 (어진동)",36.5082505,127.2624711,044-867-7579
64,소담에스정형외과의원,의원,"세종특별자치시 한누리대로 2022, 아이콤스타타워 301,302,303,308호 (소담동)",36.4844944,127.2991099,044-867-8400
65,위하는내과의원,의원,"세종특별자치시 한누리대로 1844, 행복드림타워 301~305호 (반곡동)",36.4925717,127.3117725,044-715-5110
66,세종이지항외과의원,의원,"세종특별자치시 한누리대로 331, 3층 320~323호 (나성동, SR파크센텀)",36.4902234,127.2661866,044-863-6131
67,서울봄빛안과의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 603~607호 (나성동)",36.487784,127.2566555,044-865-1400
68,서울아산재활의학과의원,의원,"세종특별자치시 절재로 194, 중앙타운 4층 406호 (어진동)",36.5082505,127.2624711,044-715-7591
69,동경한의원,한의원,"세종특별자치시 소담3로 8, 새샘마을7단지 근린생활시설 1층 5호 (소담동)",36.4863535,127.2997441,044-865-7573
70,송창헌내과의원,의원,"세종특별자치시 한누리대로 275, 형성프라자 405,406,407호 (나성동)",36.4864249,127.2609,044-866-0966
71,세종장사랑내과의원,의원,"세종특별자치시 보듬3로 158, 아름메디컬센터 4층 401~405호 (아름동)",36.51231,127.2422535,044-715-7520
72,세종톡스앤필의원,의원,"세종특별자치시 한누리대로 253, 에스빌딩 501호 (나성동)",36.4820684,127.2625457,044-414-9200
73,백헌한의원,한의원,"세종특별자치시 한누리대로 1828, 시드니블루 407,408호 (반곡동)",36.4979957,127.3116281,044-415-1802
74,세종스노우의원,의원,"세종특별자치시 나성북로 30, 퍼스트원 550~562호 (나성동)",36.4901712,127.2594252,044-903-3090
75,클레르피부과의원,의원,"세종특별자치시 한누리대로 1820, 왕관빌딩 401,402,403-1호 (반곡동)",36.4979212,127.3129477,044-715-5910
76,유디치과의원,치과의원,"세종특별자치시 나성로 38, 세종가로수길 A301,A302a,A302,A303호 (나성동)",36.4868639,127.2602904,044-715-7188
77,마인드랩공간정신건강의학과의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 406~407호 (나성동)",36.4864249,127.2609,044-715-5670
78,세종꾸러기소아치과의원,치과의원,"세종특별자치시 한누리대로 2012, 코끼리타워 301,302,303호 (소담동)",36.4853735,127.2998425,044-417-6991
79,세종바른유외과의원,의원,"세종특별자치시 한누리대로 169, 세종행복타워 503~505호 (나성동)",36.4801079,127.2617862,044-998-7575
80,평강한의원,한의원,"세종특별자치시 연기면 당산로 121, 2층",36.5447145,127.2768214,044-864-8270
81,삼성밸런스이비인후과의원,의원,"세종특별자치시 아름서1길 13-12, 세종 제이디빌딩 201,202호 (아름동)",36.5116352,127.2432425,044-715-7517
82,오케이마취통증의학과의원,의원,"세종특별자치시 조치원읍 새내8길 7, 3~4층",36.5994765,127.2989092,044-867-7575
83,세종수이비인후과의원,의원,"세종특별자치시 해밀3로 43, 스카이드림 501,502호 (해밀동)",36.5284833,127.2646737,044-715-7730
84,삼성미의원,의원,"세종특별자치시 도움1로 108, 몰리브(Mallive) 4층 405~406호 (종촌동)",36.5025906,127.2475653,044-868-7570
85,세종센텀한의원,한의원,"세종특별자치시 해밀3로 43, 스카이드림 3층 301,302호 (해밀동)",36.5284833,127.2646737,044-868-6882
86,세종스카이내과의원,의원,"세종특별자치시 해밀3로 43, 스카이드림 6층 602,603,604호 (해밀동)",36.5288454,127.2649848,044-715-7320
87,연세해밀치과의원,치과의원,"세종특별자치시 해밀3로 43, 스카이드림 504호 (해밀동)",36.5284833,127.2646737,044-863-2879
88,유스앤영서울뷰의원,의원,"세종특별자치시 나성로 96, 더센트럴 519호 (나성동)",36.4876899,127.2610197,044-715-5199
89,세종365의원,의원,"세종특별자치시 한누리대로 1958, 법조타운A 4층 401~410호 (소담동)",36.4896124,127.3022023,1661-3561
90,당신의치과의원,치과의원,"세종특별자치시 해밀3로 51, 스카이허브 404,405호 (해밀동)",36.5293927,127.264881,044-862-0028
91,허브연합내과의원,의원,"세종특별자치시 해밀3로 51, 스카이허브 303,304호 (해밀동)",36.5293927,127.264881,044-715-7588
92,마음편한치과의원,치과의원,"세종특별자치시 남세종로 458, 아리랑빌딩 303호 (보람동)",36.4770449,127.2892331,044-867-2804
93,세종365치과의원,치과의원,"세종특별자치시 한누리대로 245, 에스알파크원 402,403호 (나성동)",36.485615,127.2623713,044-715-5365
94,여담한의원,한의원,"세종특별자치시 도움8로 91, 세종마치 402호 (어진동)",36.5040516,127.271756,044-715-5868
95,이도치과의원,치과의원,"세종특별자치시 한누리대로 275, 형성프라자 501,502,503호 (나성동)",36.4887389,127.2562539,044-867-7525
96,덴탈365치과의원,치과의원,"세종특별자치시 한누리대로 1958, 법조타운A 3층 301~310호 (소담동)",36.4896124,127.3022023,1661-3275
97,삼성필성형외과의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 3층 (나성동)",36.487784,127.2566555,044-867-1233
98,리더본재활의학과의원,의원,"세종특별자치시 나성북로 30, 퍼스트원 6층 648호~655호 (나성동)",36.4901712,127.2594252,044-865-0700
99,태이재한의원,한의원,"세종특별자치시 한누리대로 2009, 펠리체타워2 203호 (소담동)",36.4849521,127.3006875,044-415-1919
100,블리비의원,의원,"세종특별자치시 한누리대로 275, 형성프라자 301호~303호 (나성동)",36.4887389,127.2562539,1833-7390
101,연세미니성형외과의원,의원,"세종특별자치시 한누리대로 273, 새롬씨티 502호, 503호 (나성동)",36.4885028,127.2566582,044-867-3655
102,크리미의원,의원,"세종특별자치시 다정중앙로 46, 2층 (다정동)",36.4944798,127.2493095,044-715-7750
103,세종튼튼한의원,한의원,"세종특별자치시 한누리대로 2257, 판타지타워 205호 (대평동)",36.4726802,127.2778762,044-868-0020
104,자인한의원,한의원,"세종특별자치시 새롬중앙로 63, 세종온누리타워 202호,203호 (새롬동)",36.486443,127.2501465,044-272-8875
105,세종시청점오라클피부과의원,의원,"세종특별자치시 한누리대로 2143, 금강시티타워 204~206호 (보람동)",36.4779787,127.2885798,044-715-7716
106,굿제이산부인과의원,의원,"세종특별자치시 절재로 194, 중앙타운 303호 (어진동)",36.5082505,127.2624711,044-715-7677
107,센텀비뇨기과의원,의원,"세종특별자치시 한누리대로 2149, 엔젤타워 404호~407호 (보람동)",36.4776782,127.2878081,044-867-6553
108,하늘소아청소년과의원,의원,"세종특별자치시 한누리대로 1820, 왕관빌딩 314-2,315,404,405-1호 (반곡동)",36.4979258,127.3090442,044-867-5151
109,앨리스치과의원,치과의원,"세종특별자치시 한누리대로 265, 명동프라자 5층 (나성동)",36.487784,127.2566555,044-417-1511
110,세종조은내과의원,의원,"세종특별자치시 한누리대로 1828, 시드니블루 401호,402호 (반곡동)",36.4979957,127.3116281,044-715-7570
111,노블클라쎄산부인과의원,의원,"세종특별자치시 한누리대로 2165, 호려울마을7단지 근린생활시설 752동 A302~308-1, A315~A320호 (보람동)",36.4767014,127.2867915,044-866-3575
112,바른뿌리치과의원,치과의원,"세종특별자치시 조치원읍 새내8길 7, 2층",36.5994765,127.2989092,044-868-2804
113,유웰비뇨의학과의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 501~504호 (나성동)",36.487784,127.2566555,1588-8163
114,한솔한의원,한의원,"세종특별자치시 누리로 110, 403,404호 (한솔동)",36.4799159,127.2530726,044-863-4455
115,메디컬뱅크치과의원,치과의원,"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 2호 (어진동)",36.4954676,127.2569976,044-862-2873
116,디어트치과의원,치과의원,"세종특별자치시 한누리대로 2275, 알파메디컬센터 303~306호 (대평동)",36.4715517,127.2763529,1522-1998
117,세미이비인후과의원,의원,"세종특별자치시 한누리대로 1824, 3층 301~303,308호 (반곡동)",36.4925338,127.308173,044-715-7560
118,따뜻한 정신건강의학과의원,의원,"세종특별자치시 한누리대로 2257, 판타지타워 304호 (대평동)",36.4726802,127.2778762,044-715-7507
119,웰가정의학과의원,의원,"세종특별자치시 조치원읍 도원2로 39, 3층",36.5927073,127.2870141,044-868-7507
120,이도내과의원,의원,"세종특별자치시 한누리대로 2143, 금강시티타워 403~404호 (보람동)",36.4779787,127.2885798,044-905-2500
121,세종튼튼치과의원,치과의원,"세종특별자치시 한누리대로 1824, 401,402호 (반곡동)",36.4983247,127.3126186,044-866-2007
122,세종코아이비인후과의원,의원,"세종특별자치시 마음로 272-4, 고운메디프라자 201호 (고운동)",36.519594,127.2353454,044-868-7585
123,반곡한의원,한의원,"세종특별자치시 한누리대로 1824, 조이프라자 405~406호 (반곡동)",36.4976987,127.3087878,044-216-6200
124,유앤성부부치과의원,치과의원,"세종특별자치시 한누리대로 1820, 왕관빌딩 407~408호 (반곡동)",36.4981148,127.3132612,044-862-7522
125,우리메디컬의원,의원,"세종특별자치시 고운서길 19, 세종 스마트큐브Ⅰ 301~303,305~308호 (고운동)",36.505846,127.2339926,044-868-5375
126,세종맑은이비인후과의원,의원,"세종특별자치시 도움3로 105-7, 메디케어빌딩 301호 (종촌동)",36.5044345,127.2496036,044-862-2358
127,로뎀소아청소년과의원,의원,"세종특별자치시 다정중앙로 52, 페스티발2 402~404호 (다정동)",36.4951769,127.2492548,044-863-0033
128,성진한의원,한의원,"세종특별자치시 다정중앙로 57, 다정센타프라자 203호 (다정동)",36.4956245,127.2485187,044-903-0525
129,종촌제일연합내과의원,의원,"세종특별자치시 도움1로 106, 메가시티 610,615-1호 (종촌동)",36.5026811,127.2481373,044-715-7511
130,아낌없이주는나무한의원,한의원,"세종특별자치시 한누리대로 1820, 왕관빌딩 503-1,503-2,504호 (반곡동)",36.4981148,127.3132612,044-865-0002
131,생생당한의원,한의원,"세종특별자치시 한누리대로 2144, 스마트허브Ⅱ 301호 (보람동)",36.4789594,127.2881574,044-868-3284
132,바른치과의원,치과의원,"세종특별자치시 한누리대로 253, 에스빌딩 502호 (나성동)",36.4819971,127.2622905,044-868-2882
133,세종이안과의원,의원,"세종특별자치시 새롬중앙로 62-15, 해피라움W 403,404호 (새롬동)",36.4869109,127.2511677,044-868-7228
134,세종김연수피부과의원,의원,"세종특별자치시 새롬중앙로 64, 세종영광프라자 4층 402호 (새롬동)",36.4865899,127.2510153,044-866-7534
135,세종탑재활의학과의원,의원,"세종특별자치시 한누리대로 2018, 사이언스타운 501호, 506~508호호 (소담동)",36.4847449,127.2993181,044-864-1620
136,세종드림치과의원,치과의원,"세종특별자치시 한누리대로 2143, 금강시티타워 405,406호 (보람동)",36.4779787,127.2885798,044-868-2815
137,황실치과의원,치과의원,"세종특별자치시 한누리대로 2281, SM메디컬센터 410호 (대평동)",36.4712307,127.2758225,044-866-2888
138,세종하이치과의원,치과의원,"세종특별자치시 한누리대로 1828, 시드니블루 403호,404호호 (반곡동)",36.4980135,127.3117466,044-862-7700
139,동인한의원,한의원,"세종특별자치시 호려울로 19, 스마트허브Ⅲ 304호 (보람동)",36.4773617,127.2889044,044-715-7512
140,수앤미의원,의원,"세종특별자치시 한누리대로 583, 도담센트럴프라자 4층 401,402호 (도담동)",36.513621,127.2596533,044-865-1174
141,정석이비인후과의원,의원,"세종특별자치시 조치원읍 새내로 97, 조치원메디컬센터 502호",36.6003728,127.2980352,044-715-7579
142,이편한홍치과의원,치과의원,세종특별자치시 연서면 봉암길 8,36.5621137,127.2825989,044-862-2811
143,서울이사랑치과의원,치과의원,"세종특별자치시 조치원읍 세종로 2282, 3층 302,303호",36.591019,127.2922397,044-864-2840
144,유성연합의원,의원,세종특별자치시 조치원읍 새내로 132,36.6036134,127.2979214,044-868-6617
145,세종양지한의원,한의원,"세종특별자치시 다정중앙로 39, 다정센터프라자2 401,402호 (다정동)",36.4940293,127.2484494,044-868-5003
146,더브라운치과의원,치과의원,"세종특별자치시 마음로 272-3, 고운에듀프라자 303,304호 (고운동)",36.519717,127.2358544,044-865-2929
147,세종서울정형외과의원,의원,"세종특별자치시 한누리대로 492, 청암빌딩 403,404,407호 (어진동)",36.5073391,127.2622843,044-862-8833
148,비쥬얼피부과의원,의원,"세종특별자치시 한누리대로 273, 새롬씨티 3층 302,303,304호 (나성동)",36.4894557,127.2669165,044-715-7585
149,더공감정신건강의학과의원,의원,"세종특별자치시 한누리대로 2135, 스타힐타워1 304호 (보람동)",36.4782996,127.2892998,044-715-7678
150,다정서문365정형외과의원,의원,"세종특별자치시 다정중앙로 52, 페스티발2 605~614호 (다정동)",36.4951769,127.2492548,044-865-1039
151,참좋은서울아산내과의원,의원,"세종특별자치시 다정중앙로 58, 다정메디프라자 5층 502~505호 (다정동)",36.495623,127.249222,044-866-5900
152,소신내과의원,의원,"세종특별자치시 한누리대로 589, 해피라움7 304,305-1,305-2,305-3,702-1,702-2호(도담동) (도담동)",36.5159063,127.2584286,044-862-8875
153,핑크유외과의원,의원,"세종특별자치시 한누리대로 492, 청암홈빌딩 501~504호 (어진동)",36.5074567,127.2595307,044-417-6688
154,목은한의원,한의원,"세종특별자치시 한누리대로 169, 세종행복타워 302호 (나성동)",36.4801079,127.2617862,044-868-4775
155,본한의원,한의원,"세종특별자치시 한누리대로 2135, 스타힐타워1 201,202호 (보람동)",36.4782996,127.2892998,044-862-7755
156,세종뷰티의원,의원,"세종특별자치시 한누리대로 492, 청암빌딩 405,406호 (어진동)",36.5073391,127.2622843,044-863-0492
157,잇츠미의원,의원,"세종특별자치시 한누리대로 253, 에스빌딩 302~304호 (나성동)",36.4894557,127.2669165,044-867-1108
158,약손한의원,한의원,"세종특별자치시 한누리대로 2236, 해들마을 6단지 상가동 2층 C214,C215호 (대평동)",36.4749937,127.2784625,044-867-1999
159,전의부부치과의원,치과의원,"세종특별자치시 전의면 운주산로 1191, 2층",36.6790502,127.2046789,044-862-2280
160,연세탑치과의원,치과의원,"세종특별자치시 조치원읍 조치원8길 6, 2층",36.6013618,127.3004525,044-863-2844
161,세종성모내과의원,의원,"세종특별자치시 한누리대로 492, 청암빌딩 401,402호 (어진동)",36.5073391,127.2622843,044-905-0606
162,서문365정형외과의원,의원,"세종특별자치시 한누리대로 2281, SM메디컬센터 3층 (대평동)",36.4712307,127.2758225,044-868-1039
163,세종고려정형외과의원,의원,"세종특별자치시 한누리대로 2143, 금강시티타워 303~306호 (보람동)",36.4779787,127.2885798,044-865-3888
164,다정소아청소년과의원,의원,"세종특별자치시 다정북로 109, 204,205호 (다정동, 가온마을3단지)",36.4973531,127.2425836,044-998-7711
165,해들치과의원,치과의원,"세종특별자치시 한누리대로 2257, 판타지타워 305호 (대평동)",36.4726802,127.2778762,044-862-2804
166,코끼리마취통증의학과의원,의원,"세종특별자치시 보듬3로 150, 아름 행복타워 502호 (아름동)",36.5122573,127.2430165,044-862-7505
167,세종김안과의원,의원,"세종특별자치시 보듬3로 150, 아름 행복타워 5층 501,502,503호 (아름동)",36.5122573,127.2430165,044-864-2360
168,서울아산내과의원,의원,"세종특별자치시 조치원읍 새내로 97, 2층, 7층",36.6003728,127.2980352,044-862-7559
169,세종제일산부인과의원,의원,"세종특별자치시 한누리대로 2265, 세종메디컬센터 5층, 6층층 (대평동)",36.4721655,127.277306,044-866-3582
170,해들한의원,한의원,"세종특별자치시 한누리대로 2265, 세종메디컬센터 302,303호 (대평동)",36.4721655,127.277306,044-868-7910
171,소망안과의원,의원,"세종특별자치시 한누리대로 2018, 사이언스타운 307,308호 (소담동)",36.4847449,127.2993181,044-868-8224
172,경희으뜸한의원,한의원,"세종특별자치시 다정중앙로 51, 더다정빌딩 2층 203호 (다정동)",36.4950124,127.2485612,044-868-1375
173,김만주정성치과의원,치과의원,"세종특별자치시 소담1로 16, 지엘플렉스2 404호 (소담동)",36.4845533,127.3011103,044-865-2080
174,이제한의원,한의원,"세종특별자치시 새롬중앙로 67, 오렌지빌딩 302, 303호 (새롬동)",36.4867617,127.2501362,044-715-7505
175,다정내과의원,의원,"세종특별자치시 다정중앙로 57, 다정센타프라자 306,307호 (다정동)",36.4956245,127.2485187,044-864-1911
176,엔연세감동치과의원,치과의원,"세종특별자치시 새롬중앙로 33, 새뜸프라자 303, 304호 (새롬동)",36.4839577,127.2518288,044-868-7523
177,연세올바른치과의원,치과의원,"세종특별자치시 다정중앙로 58, 다정메디프라자 302,303호 (다정동)",36.495623,127.249222,044-862-2622
178,라비에피부과의원,의원,"세종특별자치시 다정중앙로 51, 더다정빌딩 501,502,503호 (다정동)",36.4950124,127.2485612,044-864-5005
179,도치소아치과의원,치과의원,"세종특별자치시 다정중앙로 51, 더다정빌딩 505호 (다정동)",36.4950124,127.2485612,044-865-5200
180,도란도란소아청소년과의원,의원,"세종특별자치시 다정중앙로 57, 다정센타프라자 303호 (다정동)",36.4956245,127.2485187,044-863-3275
181,아름누리소아청소년과의원,의원,"세종특별자치시 한누리대로 2022, 아이콤스타타워 402,403호 (소담동)",36.4844944,127.2991099,044-865-7522
182,이룸한의원,한의원,"세종특별자치시 보듬4로 9, 4F-6호, 4F-7호호 (도담동, 도램마을11단지)",36.5137167,127.2600833,044-863-4107
183,세종숲정신건강의학과의원,의원,"세종특별자치시 도움1로 106, 메가시티 3층 301호 (종촌동)",36.5026153,127.2481851,044-865-7560
184,서산부인과의원,의원,"세종특별자치시 보듬3로 150, 아름 행복타워 3,4층 (아름동)",36.5122573,127.2430165,044-905-3575
185,하나로내과의원,의원,"세종특별자치시 조치원읍 새내로 102, 1,2층",36.6009987,127.2983582,044-862-5900
186,세종우리의원,의원,"세종특별자치시 다정중앙로 52, 페스티발2 510,511,512,513호 (다정동)",36.4951769,127.2492548,044-867-1170
187,연세세브란스치과의원,치과의원,"세종특별자치시 다정중앙로 57, 다정센타프라자 305호 (다정동)",36.4956245,127.2485187,044-715-5000
188,연세정담정신건강의학과의원,의원,"세종특별자치시 한누리대로 499, 세종포스트빌딩 201-3,301호 (어진동)",36.5082836,127.2612436,044-866-3824
189,블랑피부과의원,의원,"세종특별자치시 절재로 194, 중앙타운 301호,302(일부)호 (어진동)",36.5082505,127.2624711,044-905-1100
190,경희부부한의원,한의원,"세종특별자치시 절재로 194, 중앙타운 301호 (어진동)",36.5082505,127.2624711,044-905-2200
191,서울삼성이비인후과의원,의원,"세종특별자치시 한누리대로 275, 형성프라자 401~404호 (나성동)",36.4851947,127.2620853,044-864-1864
192,코끼리소아청소년과의원,의원,"세종특별자치시 한누리대로 2012, 코끼리타워 401호,402호 (소담동)",36.4853735,127.2998425,044-867-8867
193,정마취통증의학과의원,의원,"세종특별자치시 한누리대로 2016, 타임빌딩 401호,402호 (소담동)",36.4850762,127.2996161,044-905-3300
194,미애로여성의원,의원,"세종특별자치시 한누리대로 253, 에스빌딩 603호,604호 (나성동)",36.4866841,127.2570939,044-863-7475
195,바로선한의원,한의원,"세종특별자치시 새롬중앙로 33, 새뜸프라자 302호 (새롬동)",36.4839577,127.2518288,044-865-8572
196,서울굿닥터의원,의원,"세종특별자치시 새롬중앙로 55, 3층 (새롬동, 행운빌딩)",36.4856879,127.2503691,044-867-9933
197,고운소아청소년과의원,의원,"세종특별자치시 남세종로 454, 405호 (보람동, 강남제일타워)",36.477293,127.28961,044-868-9545
198,경희바른몸한의원,한의원,"세종특별자치시 한누리대로 2022, 504호,505호 (소담동, 아크레타 아이콤스타타워)",36.4844685,127.2991635,044-868-1015
